segment_id,channel_mode,start_seconds,end_seconds,expected_left_hz,expected_right_hz,observed_left_hz,observed_right_hz,left_error_hz,right_error_hz,left_error_cents,right_error_cents,notes
1,L,0.000000,1.200000,100.000000,0.000000,,,,,,,
2,R,1.550000,2.750000,0.000000,100.000000,,,,,,,
3,BOTH,3.100000,4.300000,100.000000,100.000000,,,,,,,
4,L,4.650000,5.850000,500.000000,0.000000,,,,,,,
5,R,6.200000,7.400000,0.000000,500.000000,,,,,,,
6,BOTH,7.750000,8.950000,500.000000,500.000000,,,,,,,
7,L,9.300000,10.500000,1000.000000,0.000000,,,,,,,
8,R,10.850000,12.050000,0.000000,1000.000000,,,,,,,
9,BOTH,12.400000,13.600000,1000.000000,1000.000000,,,,,,,
10,L,13.950000,15.150000,5000.000000,0.000000,,,,,,,
11,R,15.500000,16.700000,0.000000,5000.000000,,,,,,,
12,BOTH,17.050000,18.250000,5000.000000,5000.000000,,,,,,,
