segment_id,channel_mode,start_seconds,end_seconds,expected_left_hz,expected_right_hz,observed_left_hz,observed_right_hz,left_error_hz,right_error_hz,left_error_cents,right_error_cents,notes
1,L,0.000000,1.200000,40.000000,0.000000,41.158813,,1.158813,,49.442,,
2,R,1.550000,2.750000,0.000000,40.000000,,41.158813,,1.158813,,49.442,
3,BOTH,3.100000,4.300000,40.000000,40.000000,41.158813,41.158813,1.158813,1.158813,49.442,49.442,
4,L,4.650000,5.850000,60.000000,0.000000,58.438847,,-1.561153,,-45.642,,
5,R,6.200000,7.400000,0.000000,60.000000,,58.438847,,-1.561153,,-45.642,
6,BOTH,7.750000,8.950000,60.000000,60.000000,58.438847,58.438847,-1.561153,-1.561153,-45.642,-45.642,
7,L,9.300000,10.500000,80.000000,0.000000,81.280289,,1.280289,,27.487,,
8,R,10.850000,12.050000,0.000000,80.000000,,81.280289,,1.280289,,27.487,
9,BOTH,12.400000,13.600000,80.000000,80.000000,81.280289,81.280289,1.280289,1.280289,27.487,27.487,
10,L,13.950000,15.150000,100.000000,0.000000,99.893555,,-0.106445,,-1.844,,
11,R,15.500000,16.700000,0.000000,100.000000,,99.893555,,-0.106445,,-1.844,
12,BOTH,17.050000,18.250000,100.000000,100.000000,99.893555,99.893555,-0.106445,-0.106445,-1.844,-1.844,
13,L,18.600000,19.800000,150.000000,0.000000,150.883560,,0.883560,,10.168,,
14,R,20.150000,21.350000,0.000000,150.000000,,150.883560,,0.883560,,10.168,
15,BOTH,21.700000,22.900000,150.000000,150.000000,150.883560,150.883560,0.883560,0.883560,10.168,10.168,
16,L,23.250000,24.450000,200.000000,0.000000,197.269455,,-2.730545,,-23.799,,
17,R,24.800000,26.000000,0.000000,200.000000,,197.269455,,-2.730545,,-23.799,
18,BOTH,26.350000,27.550000,200.000000,200.000000,197.269455,197.269455,-2.730545,-2.730545,-23.799,-23.799,
19,L,27.900000,29.100000,300.000000,0.000000,297.964355,,-2.035645,,-11.787,,
20,R,29.450000,30.650000,0.000000,300.000000,,297.964355,,-2.035645,,-11.787,
21,BOTH,31.000000,32.200000,300.000000,300.000000,297.964355,297.964355,-2.035645,-2.035645,-11.787,-11.787,
22,L,32.550000,33.750000,500.000000,0.000000,498.936096,,-1.063904,,-3.688,,
23,R,34.100000,35.300000,0.000000,500.000000,,498.936096,,-1.063904,,-3.688,
24,BOTH,35.650000,36.850000,500.000000,500.000000,498.936096,498.936096,-1.063904,-1.063904,-3.688,-3.688,
25,L,37.200000,38.400000,800.000000,0.000000,801.705872,,1.705872,,3.688,,
26,R,38.750000,39.950000,0.000000,800.000000,,801.705872,,1.705872,,3.688,
27,BOTH,40.300000,41.500000,800.000000,800.000000,801.705872,801.705872,1.705872,1.705872,3.688,3.688,
28,L,41.850000,43.050000,1000.000000,0.000000,1005.825256,,5.825256,,10.056,,
29,R,43.400000,44.600000,0.000000,1000.000000,,1005.825256,,5.825256,,10.056,
30,BOTH,44.950000,46.150000,1000.000000,1000.000000,1005.825256,1005.825256,5.825256,5.825256,10.056,10.056,
31,L,46.500000,47.700000,2000.000000,0.000000,1986.300415,,-13.699585,,-11.899,,
32,R,48.050000,49.250000,0.000000,2000.000000,,1986.300415,,-13.699585,,-11.899,
33,BOTH,49.600000,50.800000,2000.000000,2000.000000,1986.300415,1986.300415,-13.699585,-13.699585,-11.899,-11.899,
34,L,51.150000,52.350000,5000.000000,0.000000,5023.772949,,23.772949,,8.212,,
35,R,52.700000,53.900000,0.000000,5000.000000,,5023.772949,,23.772949,,8.212,
36,BOTH,54.250000,55.450000,5000.000000,5000.000000,5023.772949,5023.772949,23.772949,23.772949,8.212,8.212,
37,L,55.800000,57.000000,8000.000000,0.000000,8072.353027,,72.353027,,15.587,,
38,R,57.350000,58.550000,0.000000,8000.000000,,8072.353027,,72.353027,,15.587,
39,BOTH,58.900000,60.100000,8000.000000,8000.000000,8072.353027,8072.353027,72.353027,72.353027,15.587,15.587,
40,L,60.450000,61.650000,12000.000000,0.000000,11943.989258,,-56.010742,,-8.100,,
41,R,62.000000,63.200000,0.000000,12000.000000,,11943.989258,,-56.010742,,-8.100,
42,BOTH,63.550000,64.750000,12000.000000,12000.000000,11943.989258,11943.989258,-56.010742,-56.010742,-8.100,-8.100,
